iter	Passed	Remaining
0	66	66556
1	73	36872
2	81	27061
3	88	21960
4	93	18687
5	100	16613
6	107	15193
7	113	14108
8	119	13158
9	124	12372
10	130	11758
11	136	11278
12	143	10924
13	149	10555
14	156	10287
15	162	10001
16	168	9754
17	174	9513
18	180	9336
19	186	9160
20	192	8994
21	199	8860
22	205	8723
23	211	8591
24	217	8475
25	224	8391
26	229	8285
27	236	8197
28	242	8122
29	248	8043
30	255	7983
31	261	7916
32	267	7851
33	274	7795
34	281	7755
35	288	7712
36	294	7666
37	301	7627
38	307	7578
39	314	7547
40	321	7509
41	327	7472
42	333	7432
43	339	7382
44	346	7350
45	352	7319
46	358	7268
47	364	7233
48	370	7194
49	376	7162
50	383	7127
51	389	7103
52	395	7072
53	402	7045
54	408	7019
55	414	6994
56	420	6961
57	426	6923
58	431	6889
59	437	6856
60	443	6827
61	449	6797
62	454	6763
63	460	6739
64	467	6718
65	473	6698
66	479	6678
67	485	6656
68	491	6638
69	497	6611
70	504	6598
71	511	6587
72	517	6566
73	523	6548
74	529	6534
75	535	6513
76	541	6492
77	547	6469
78	553	6448
79	558	6427
80	565	6413
81	571	6397
82	577	6382
83	583	6365
84	589	6346
85	595	6329
86	601	6312
87	608	6301
88	614	6286
89	620	6269
90	626	6253
91	632	6241
92	639	6241
93	645	6219
94	651	6203
95	657	6187
96	663	6173
97	668	6156
98	674	6141
99	681	6135
100	687	6122
101	694	6110
102	699	6093
103	705	6079
104	710	6060
105	716	6046
106	722	6032
107	728	6020
108	736	6017
109	741	5999
110	747	5986
111	754	5979
112	760	5972
113	767	5961
114	772	5945
115	778	5934
116	784	5922
117	790	5909
118	797	5901
119	803	5891
120	808	5875
121	814	5863
122	821	5857
123	827	5849
124	833	5835
125	840	5827
126	846	5817
127	852	5804
128	857	5792
129	863	5780
130	870	5775
131	875	5760
132	882	5752
133	888	5743
134	894	5733
135	900	5721
136	906	5710
137	912	5698
138	918	5691
139	924	5678
140	930	5668
141	936	5659
142	941	5645
143	947	5633
144	953	5624
145	960	5615
146	966	5608
147	972	5595
148	978	5591
149	985	5584
150	991	5577
151	998	5571
152	1005	5566
153	1011	5557
154	1018	5552
155	1024	5541
156	1030	5533
157	1037	5527
158	1043	5519
159	1050	5513
160	1056	5504
161	1062	5496
162	1068	5487
163	1077	5491
164	1084	5485
165	1091	5484
166	1099	5482
167	1106	5481
168	1112	5472
169	1122	5478
170	1128	5472
171	1134	5463
172	1141	5457
173	1148	5452
174	1156	5452
175	1163	5446
176	1170	5440
177	1176	5431
178	1182	5422
179	1188	5413
180	1194	5404
181	1199	5393
182	1205	5380
183	1211	5373
184	1218	5365
185	1223	5355
186	1229	5344
187	1235	5336
188	1241	5327
189	1247	5319
190	1254	5312
191	1259	5302
192	1265	5290
193	1270	5280
194	1277	5273
195	1283	5265
196	1289	5257
197	1295	5248
198	1301	5238
199	1307	5231
200	1314	5224
